COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
00000825;1;PASAJE;DE LA;TIERRUCA;TIERRUCA;29/09/1989;;V
00000826;1;CALLE;DE;MARTINEZ MOLINA;MARTÍNEZ MOLINA;28/02/1990;;V
00000827;1;CALLE;DE;PATONES;PATONES;28/02/1990;;V
00000828;1;PLAZA;DEL;DOCTOR BARRAQUER;DOCTOR BARRAQUER;28/02/1990;;V
00000829;1;CALLE;DE;ANTONIORROBLES;ANTONIORROBLES;28/02/1990;;V
00000830;1;PASAJE;DE;SANTA FELICIDAD;SANTA FELICIDAD;28/02/1990;;V
00000831;1;AVENIDA;DEL;PLANETARIO;PLANETARIO;28/02/1990;;V
00000832;1;CALLE;DE;MIGUEL DE UNAMUNO;MIGUEL DE UNAMUNO;28/02/1990;;V
00000833;1;GLORIETA;DE;FRANCISCO DE LAS CABEZAS;FRANCISCO DE LAS CABEZAS;28/02/1990;;V
00000834;1;GLORIETA;DE;RICARDO VELAZQUEZ BOSCO;RICARDO VELÁZQUEZ BOSCO;28/02/1990;;V
00000836;2;CALLE;DEL;MARQUESADO DE SANTA MARTA;MARQUESADO DE SANTA MARTA;28/07/1994;;V
00000836;1;CALLE;DE;MANUEL TERAN;MANUEL TERÁN;28/02/1990;28/07/1994;V
00000837;1;CALLE;DE;JUAN RIZI;JUAN RIZI;28/02/1990;;V
00000838;1;CALLE;DE;AGUETOL;AGUETOL;28/02/1990;;V
00000839;1;CALLE;DE;ARTEMISA;ARTEMISA;28/02/1990;;V
00000840;1;CALLE;DE;ARIADNA;ARIADNA;28/02/1990;;V
00000841;1;TRAVESIA;DE;MARIA ZAMBRANO;MARÍA ZAMBRANO;29/03/1990;;V
00000842;1;CALLE;DE;VALCOTOS;VALCOTOS;29/03/1990;;V
00000843;1;CALLE;DE;VALDEZCARAY;VALDEZCARAY;29/03/1990;;V
